(0, 1.8029999732971191)
(1, 2.0460000038146973)
(2, 2.2189998626708984)
(3, 2.5249998569488525)
(3, 2.930000066757202)
(0, 3.694999933242798)
(1, 3.9029998779296875)
(2, 4.0980000495910645)
(3, 4.375999927520752)
(3, 4.796000003814697)
(0, 5.5279998779296875)
(1, 5.744999885559082)
(2, 5.948999881744385)
(3, 6.20199990272522)
(3, 6.648000001907349)
(2, 7.828999996185303)
(3, 8.044999837875366)
(2, 8.395999908447266)
(1, 8.84500002861023)
(1, 11.468999862670898)
(0, 11.720999956130981)
(1, 12.10099983215332)
(2, 12.54699993133545)
(0, 15.572999954223633)
(1, 15.99399995803833)
(2, 16.246999979019165)
(3, 16.723999977111816)
(3, 19.361000061035156)
(2, 19.569999933242798)
(1, 19.82099986076355)
(0, 20.073999881744385)
(0, 23.01900005340576)
(1, 23.22000002861023)
(2, 23.47000002861023)
(3, 23.74899983406067)
(3, 24.2189998626709)
(2, 26.56599998474121)
(3, 26.822999954223633)
(2, 26.9689998626709)
(1, 27.19000005722046)
(0, 27.375)
(1, 27.598999977111816)
(3, 29.49399995803833)
(2, 29.697999954223633)
(1, 29.88100004196167)
(0, 30.1729998588562)
(1, 30.39800000190735)
(2, 30.62399983406067)
(3, 30.85800004005432)
(2, 31.09500002861023)
(1, 31.352999925613403)
(3, 33.168999910354614)
(2, 33.40700006484985)
(1, 33.62399983406067)
(0, 33.86899995803833)
(1, 34.11500000953674)
(2, 34.34999990463257)
(3, 34.57299995422363)
(2, 34.79699993133545)
(2, 35.39699983596802)
(0, 38.519999980926514)
(1, 38.97000002861023)
(2, 39.444000005722046)
(3, 39.85199999809265)
(0, 40.348999977111816)
(1, 40.819000005722046)
(2, 41.269999980926514)
(3, 41.644999980926514)
(2, 41.89800000190735)
(1, 42.17199993133545)
(0, 43.996999979019165)
(1, 44.44799995422363)
(2, 44.82200002670288)
(3, 45.52900004386902)
(2, 45.776999950408936)
(1, 46.746999979019165)
(0, 47.001999855041504)
