(0, 4.861000061035156)
(1, 5.108999967575073)
(3, 5.371999979019165)
(2, 5.656000137329102)
(0, 5.857000112533569)
(1, 6.108999967575073)
(2, 6.460999965667725)
(3, 6.956000089645386)
(2, 7.36299991607666)
(1, 7.513000011444092)
(0, 7.91100001335144)
(1, 8.204999923706055)
(3, 9.019000053405762)
(2, 9.305999994277954)
(0, 9.467000007629395)
(1, 9.713000059127808)
(3, 10.00600004196167)
(2, 10.293999910354614)
(0, 10.611000061035156)
(3, 11.062999963760376)
(2, 11.509000062942505)
(1, 11.608000040054321)
(0, 11.772000074386597)
(1, 12.059000015258789)
(2, 12.361999988555908)
(3, 12.558000087738037)
(2, 12.90499997138977)
(3, 13.322999954223633)
(2, 13.658999919891357)
(0, 14.158999919891357)
(3, 14.70799994468689)
(2, 15.210000038146973)
(1, 15.559000015258789)
(0, 15.812999963760376)
(1, 16.213000059127808)
(0, 16.561000108718872)
(2, 17.062000036239624)
(3, 17.45900011062622)
(2, 17.85800004005432)
(3, 18.3510000705719)
(3, 18.91100001335144)
(2, 19.312999963760376)
(1, 19.66100001335144)
(0, 19.927000045776367)
(1, 20.407999992370605)
(0, 20.763000011444092)
(3, 21.31599998474121)
(0, 24.163000106811523)
(1, 24.426000118255615)
(2, 24.66000008583069)
(3, 24.907000064849854)
(3, 25.407999992370605)
(3, 26.11400008201599)
(2, 26.6560001373291)
(3, 27.10599994659424)
(2, 27.555999994277954)
(1, 27.91000008583069)
(0, 28.204999923706055)
(1, 28.611000061035156)
(0, 28.908999919891357)
(3, 29.460000038146973)
(3, 30.30900001525879)
(2, 30.812999963760376)
(3, 31.41000008583069)
(2, 31.85700011253357)
(1, 32.117000102996826)
(0, 32.41199994087219)
(3, 32.860000133514404)
(2, 33.111000061035156)
(0, 33.723000049591064)
(1, 34.06500005722046)
(2, 34.460999965667725)
(3, 34.973000049591064)
(2, 35.562000036239624)
(0, 36.02500009536743)
(3, 36.35899996757507)
(1, 36.65899991989136)
(2, 37.11400008201599)
(0, 37.4060001373291)
(0, 37.91000008583069)
(1, 38.25600004196167)
(2, 38.66100001335144)
(3, 39.11400008201599)
(2, 39.70700001716614)
(0, 40.26300001144409)
(1, 40.51099991798401)
(0, 40.812000036239624)
(1, 41.35899996757507)
(2, 42.134000062942505)
(3, 42.83200001716614)
(2, 43.37700009346008)
(3, 43.95799994468689)
(2, 44.37700009346008)
(0, 44.65899991989136)
(1, 44.90899991989136)
(3, 45.33200001716614)
(2, 45.61199998855591)
(3, 46.212000131607056)
(3, 46.90899991989136)
(0, 47.55900001525879)
(1, 47.956000089645386)
(3, 48.55900001525879)
(2, 48.86199998855591)
(1, 49.110000133514404)
(0, 49.513999938964844)
(1, 49.76200008392334)
(2, 50.35599994659424)
(3, 50.812999963760376)
(2, 51.20900011062622)
(0, 51.60899996757507)
(3, 52.21499991416931)
(2, 52.759000062942505)
(1, 53.01300001144409)
(0, 53.35899996757507)
(1, 53.770999908447266)
(0, 54.013999938964844)
(2, 54.50600004196167)
(3, 54.962000131607056)
(2, 55.35599994659424)
(3, 55.861000061035156)
(0, 56.36400008201599)
(3, 56.91799998283386)
(1, 57.15899991989136)
(2, 57.51099991798401)
(0, 57.9060001373291)
(3, 58.212000131607056)
(3, 58.75999999046326)
(0, 61.57800006866455)
(3, 61.860000133514404)
