(3, 3.063999891281128)
(2, 3.7159998416900635)
(1, 4.162999868392944)
(0, 4.763000011444092)
(1, 5.2149999141693115)
(2, 5.577999830245972)
(3, 5.913999795913696)
(2, 6.412999868392944)
(1, 6.913999795913696)
(0, 7.531999826431274)
(1, 7.932999849319458)
(2, 8.264999866485596)
(3, 8.662999868392944)
(2, 9.162999868392944)
(1, 9.71399998664856)
(0, 10.325999975204468)
(1, 10.678999900817871)
(2, 10.962999820709229)
(3, 11.327999830245972)
(2, 11.866999864578247)
(1, 12.36299991607666)
(0, 12.913999795913696)
(1, 13.36299991607666)
(2, 13.671000003814697)
(3, 14.426999807357788)
(2, 14.82699990272522)
(1, 15.263999938964844)
(0, 15.562999963760376)
(1, 15.913999795913696)
(2, 16.062999963760376)
(3, 17.21399998664856)
(2, 17.613999843597412)
(1, 17.96399998664856)
(0, 18.363999843597412)
(1, 18.663999795913696)
(2, 18.86299991607666)
(3, 19.36299991607666)
(2, 19.57099986076355)
(0, 20.020999908447266)
(1, 20.370999813079834)
(2, 20.662999868392944)
(3, 21.113999843597412)
(2, 21.471999883651733)
(1, 21.61299991607666)
(0, 22.763999938964844)
(1, 23.062999963760376)
(2, 23.46399998664856)
(3, 23.763999938964844)
(2, 24.085999965667725)
(1, 24.36299991607666)
(0, 24.562999963760376)
(1, 24.709999799728394)
(2, 25.062999963760376)
(3, 25.513000011444092)
(2, 25.86299991607666)
(1, 26.263000011444092)
(0, 26.617999792099)
(1, 26.96299982070923)
(2, 27.113999843597412)
(3, 28.317999839782715)
(2, 28.667999982833862)
(1, 28.912999868392944)
(0, 29.263000011444092)
(1, 29.562999963760376)
(2, 29.912999868392944)
(3, 30.263999938964844)
(2, 30.61299991607666)
(1, 30.763000011444092)
(0, 30.96299982070923)
(1, 31.113999843597412)
(1, 32.46399998664856)
(2, 32.663999795913696)
(0, 32.96299982070923)
(3, 33.31399989128113)
(1, 33.46299982070923)
(2, 33.663999795913696)
(1, 33.812999963760376)
(0, 36.668999910354614)
(1, 36.913999795913696)
(2, 37.312999963760376)
(3, 37.662999868392944)
(3, 38.21299982070923)
(0, 39.413999795913696)
(1, 39.763999938964844)
(2, 40.067999839782715)
(3, 40.46299982070923)
(2, 40.71299982070923)
(3, 41.10199999809265)
(3, 42.21399998664856)
(2, 42.51300001144409)
(1, 42.86500000953674)
(0, 43.2189998626709)
(0, 43.76300001144409)
(0, 44.96299982070923)
(1, 45.32599997520447)
(2, 45.66699981689453)
(3, 45.96299982070923)
(2, 46.31399989128113)
(3, 46.663999795913696)
(3, 47.662999868392944)
(2, 47.98099994659424)
(1, 48.36399984359741)
(0, 48.6729998588562)
(0, 49.263999938964844)
(0, 50.46399998664856)
(1, 50.775999784469604)
(2, 51.026999950408936)
(3, 51.26300001144409)
(2, 51.61399984359741)
(0, 52.02199983596802)
(1, 52.36299991607666)
(2, 52.63199996948242)
(0, 52.81399989128113)
